InteractionNumber,ElapsedTime,SplitTime,missCount
0.3430856,-0.03743148,0.3659816,9.576368,8.022687,0.169156
0.2970588,-0.04447022,0.3209552,8.507987,352.1027,0.08121974
0.2592923,-0.04529156,0.2779418,7.464823,337.2029,1.561719
0.2271053,-0.04317551,0.2330377,8.226408,323.6633,0.9563676
0.1986281,-0.03483197,0.1974276,8.600883,313.9749,0.2426942
0.1752925,-0.03171667,0.1658831,9.452223,304.5946,1.993906
0.1527079,-0.03281199,0.1513949,9.526297,300.5672,4.080396
0.1254688,-0.03834037,0.1507813,10.40242,299.1328,4.511538
0.08786212,-0.04769704,0.1592968,12.75663,297.5055,3.792006
0.03972788,-0.05521643,0.1734043,14.2571,297.813,2.806813
-0.04903081,-0.06752044,0.1961257,16.11827,300.3629,3.800249
-0.15969,-0.08032999,0.2191024,17.05509,303.4372,5.63897
-0.2843747,-0.08400413,0.2435973,17.92619,304.3063,6.596378
-0.3995844,-0.09594044,0.267878,17.50986,303.8341,5.763625
-0.4797258,-0.1162279,0.2852521,19.63823,304.9117,3.877843
-0.5583485,-0.1489213,0.3084689,21.05402,308.6214,3.433161
-0.5923665,-0.1613227,0.3227507,24.24945,314.6095,3.373869
-0.5820701,-0.1476585,0.336768,23.68369,328.7334,4.478463
-0.529338,-0.1161948,0.3410154,20.28493,348.3231,6.985922
-0.4616021,-0.08514765,0.3298758,16.26438,5.576436,7.509624
-0.3687569,-0.05371064,0.3023135,10.64702,23.01325,5.404065
-0.2928846,-0.03040538,0.2744748,5.958967,32.08028,4.860716
-0.2248947,-0.01910561,0.2477311,0.614476,34.9702,3.860166
-0.1587669,-0.009973375,0.2254647,358.5253,35.96923,4.196927
-0.1001891,-0.005198597,0.2178082,359.1819,37.13892,4.316378
-0.05190681,0.0006052511,0.2261744,358.3217,39.33352,2.574461
-0.008451733,-0.01747523,0.2440522,0.08359793,42.4118,0.2963135
0.05867669,-0.01505749,0.2741471,359.1966,41.6369,2.141354
0.1459562,-0.02539477,0.3089915,356.9091,41.48558,359.6692
0.2367218,-0.03950976,0.341548,356.1276,40.69648,359.1776
0.3540944,-0.0473013,0.3757339,356.8566,38.20873,0.2949471
0.4600743,-0.02801897,0.412446,358.5602,37.80597,359.0874
0.5161374,-0.02296388,0.434248,2.956582,38.19604,0.3655975
0.532505,-0.02060908,0.447211,4.693136,35.4831,0.1210155
0.5092577,-0.01925811,0.4514338,7.001388,26.34344,1.489117
0.4497764,-0.02152914,0.4453844,9.991637,8.043447,2.015058
0.3551618,-0.03065666,0.4155328,15.44111,344.9504,2.604958
0.2642635,-0.04573448,0.3715513,17.48826,330.6408,2.409749
0.1710536,-0.05766709,0.3196995,18.42862,320.91,2.07203
0.08461185,-0.06661558,0.2645149,19.69134,310.5943,2.176227
0.03290427,-0.0628092,0.2244169,22.81872,301.4252,1.112209
-0.02113713,-0.0631401,0.170404,27.15679,291.555,356.2773
-0.0380939,-0.05067763,0.1502779,21.76561,293.1484,358.7612
-0.03967575,-0.01894727,0.1391684,6.922339,299.2447,1.89307
-0.02831769,0.01295417,0.1330158,348.9021,302.8898,3.642345
-0.01890075,0.02064397,0.1202801,337.1546,305.4384,2.342039
-0.02716094,0.02310054,0.1145213,333.6316,306.2854,2.911696
-0.04838398,0.02936273,0.1125432,328.9802,305.6613,2.143057
-0.08494674,0.02950895,0.1230972,326.018,307.0576,1.545835
-0.1012513,0.03590411,0.135346,327.4642,307.5845,1.977672
-0.1201005,0.03075302,0.1661027,335.9456,311.4443,359.8235
-0.1143411,0.01291132,0.2024885,349.0174,328.9992,352.4067
-0.09333531,-0.00740778,0.2311305,2.825735,348.7021,349.726
-0.06238276,-0.04030793,0.2489473,18.63178,9.702158,353.7124
-0.03715346,-0.06931145,0.2530929,29.41471,30.46181,2.019087
-0.02554522,-0.08719561,0.2586876,33.16333,43.47966,7.707686
-0.02115874,-0.1039605,0.264627,39.63969,51.85187,12.20537
-0.01174533,-0.0914151,0.2770192,31.56127,56.28399,13.2651
-0.003834508,-0.06301004,0.2794735,18.10644,55.57817,10.26871
0.01511231,-0.02307701,0.2648006,0.298582,55.01396,7.733066
0.05005832,-0.005553912,0.2506712,353.5201,56.64277,4.812539
0.1032817,0.003027116,0.2476608,350.7859,57.65536,3.383888
0.1609033,0.005310564,0.252018,350.6962,55.68539,5.203335
0.2336246,0.003095963,0.2688887,352.0483,53.03448,5.660744
0.3033998,0.00337662,0.3023643,354.1257,50.12385,5.007324
0.3676572,-0.0001455708,0.3450969,355.0019,49.10986,3.692314
0.4341993,-0.02747172,0.3983501,357.2569,49.43699,3.603655
0.4631652,-0.04395158,0.4255644,359.269,49.61703,3.062082
0.4726643,-0.02661359,0.440455,0.2677045,46.80527,4.070077
0.4390656,-0.02001371,0.4397826,1.342013,30.70271,3.465806
0.393651,-0.02679566,0.4234065,2.861347,15.64046,2.540048
0.3204458,-0.03984926,0.3872966,4.075768,353.5634,2.426386
0.2714815,-0.04065176,0.3596895,4.620358,337.6839,1.077596
0.2200328,-0.03965766,0.3249633,5.665414,322.4797,358.9576
