InteractionNumber,ElapsedTime,SplitTime,missCount,,,,,,,
20.90405,0.4473715,-0.0416132,0.9424095,7.629532,340.4246,352.4418,,7.629532,-19.5754,-7.5582
21.00411,0.4387001,-0.03976659,0.9169132,7.763154,340.849,353.1899,,7.763154,-19.151,-6.8101
21.11477,0.4331785,-0.03618973,0.8920359,7.323157,341.1533,353.6761,,7.323157,-18.8467,-6.3239
21.22874,0.4289572,-0.034242,0.8685596,6.697349,341.7325,354.3052,,6.697349,-18.2675,-5.6948
21.35726,0.4178934,-0.03440991,0.8446705,7.448314,339.7411,355.2455,,7.448314,-20.2589,-4.7545
21.46676,0.3879631,-0.02987458,0.8154547,7.380852,326.8405,356.3192,,7.380852,-33.1595,-3.6808
21.58051,0.3576363,-0.02187907,0.7785884,4.244691,302.7605,356.2163,,4.244691,-57.2395,-3.7837
21.69056,0.3470171,-0.01520425,0.7368532,1.708468,276.1549,355.8714,,1.708468,-83.8451,-4.1286
21.79102,0.3577717,-0.008916997,0.7080473,0.03567707,254.3816,356.1493,,0.03567707,-105.6184,-3.8507
21.89137,0.3805275,-0.007151531,0.6911273,359.5891,234.9044,355.9948,,-0.4109,-125.0956,-4.0052
21.99278,0.4148824,-0.001476604,0.6813542,356.2364,211.876,355.137,,-3.7636,-148.124,-4.863
22.10848,0.4523465,-0.005221408,0.6843405,358.0198,192.5466,355.7653,,-1.9802,-167.4534,-4.2347
22.23142,0.4931568,-0.009257929,0.696822,359.2044,171.9395,356.723,,-0.7956,171.9395,-3.277
22.34467,0.5223594,-0.008683697,0.7144384,358.0733,155.3224,357.2688,,-1.9267,155.3224,-2.7312
22.46183,0.5311071,-0.01152273,0.7289493,357.9791,143.8606,358.7637,,-2.0209,143.8606,-1.2363
22.59048,0.5296815,-0.02082122,0.7408763,0.9117392,130.8175,0.6955406,,0.9117392,130.8175,0.6955406
22.69212,0.522118,-0.03349885,0.7524009,2.886617,123.0045,2.965841,,2.886617,123.0045,2.965841
22.79518,0.5122141,-0.03929828,0.7689857,6.037031,114.7248,2.639715,,6.037031,114.7248,2.639715
22.89771,0.4966397,-0.03771703,0.7947983,6.50309,103.766,1.976435,,6.50309,103.766,1.976435
23.00961,0.4674677,-0.02102979,0.8240222,359.5957,95.80593,2.490444,,-0.4043,95.80593,2.490444
