InteractionNumber,touched
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,0
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,0
29,0

time,posX,posY,posZ,rotX,rotY,rotZ,headPosX,headPosY,headPosZ,LhandPosX,LhandPosY,LhandPosZ,RhandPosX,RhandPosY,RhandPosZ
10.08553,0.1380669,-0.03830917,0.06804042,2.112937,344.3842,0.7106751,-0.1380669,1.461691,9.78196,0.0532368,1.107005,9.664741,-0.2276753,1.141068,9.539557
10.19236,0.1521419,-0.03858307,0.06803584,2.852879,359.4121,2.375521,-0.1521419,1.461417,9.781964,0.0405509,1.106554,9.651741,-0.2338455,1.139465,9.552418
10.29792,0.1672245,-0.03704054,0.06168365,2.983506,14.78954,3.776499,-0.1672245,1.462959,9.788317,0.01913435,1.109404,9.636902,-0.2525965,1.13725,9.566272
10.41024,0.1764529,-0.03438502,0.05190302,2.44434,25.83387,4.505377,-0.1764529,1.465615,9.798097,-0.004011357,1.113246,9.627153,-0.2831668,1.138236,9.583049
10.5121,0.1777663,-0.03220013,0.04337412,1.579214,31.06969,4.604662,-0.1777663,1.4678,9.806626,-0.01995584,1.113189,9.620143,-0.3079127,1.135723,9.600912
10.62295,0.1646554,-0.03028309,0.03967216,0.8091693,26.35769,3.584711,-0.1646554,1.469717,9.810328,-0.02839019,1.113416,9.615053,-0.3257185,1.130244,9.62113
10.72445,0.1454013,-0.0276487,0.03852812,359.8662,16.9617,3.126712,-0.1454013,1.472351,9.811472,-0.02937433,1.114481,9.617812,-0.3351084,1.125318,9.633493
10.82629,0.1271676,-0.02500482,0.03416581,358.5849,8.950186,2.735674,-0.1271676,1.474995,9.815834,-0.02103373,1.116783,9.623834,-0.3344286,1.11805,9.638769
10.93233,0.116507,-0.02393913,0.02879037,358.1349,4.873263,3.065355,-0.116507,1.476061,9.82121,-0.003083081,1.118389,9.632099,-0.3227462,1.115165,9.637087
11.03347,0.1036886,-0.02333937,0.02318789,357.6491,358.3993,2.820394,-0.1036886,1.476661,9.826812,0.0166235,1.115222,9.64236,-0.3018496,1.11686,9.633762
11.13614,0.08923291,-0.02341428,0.01588988,357.5941,350.1435,2.444429,-0.08923291,1.476586,9.83411,0.03535753,1.112536,9.655972,-0.2811402,1.11767,9.629889
11.24786,0.07758717,-0.02316764,0.006424654,357.3752,343.4794,2.473781,-0.07758717,1.476832,9.843575,0.05511407,1.117944,9.674302,-0.2594495,1.116101,9.626249
11.36034,0.07303635,-0.0233233,-0.003210079,357.2357,340.6565,2.909513,-0.07303635,1.476677,9.85321,0.07418619,1.133162,9.688938,-0.2386193,1.113752,9.625154
11.47168,0.07091831,-0.02293797,-0.01245047,356.6437,339.3907,2.929793,-0.07091831,1.477062,9.862451,0.103307,1.148384,9.69878,-0.2206614,1.11046,9.626594
11.57231,0.06336652,-0.02099334,-0.01898075,355.9085,339.1313,3.207743,-0.06336652,1.479007,9.86898,0.1422888,1.165377,9.709574,-0.199975,1.104635,9.627596
11.68476,0.03304485,-0.02364277,-0.02518489,354.2892,340.411,2.106805,-0.03304485,1.476357,9.875185,0.1893363,1.184538,9.726951,-0.1613386,1.099041,9.63188
11.79724,-0.02189093,-0.02755804,-0.02996235,352.7128,342.4563,1.75706,0.02189093,1.472442,9.879962,0.2023713,1.170156,9.74187,-0.1004951,1.0866,9.638934
11.90462,-0.07826583,-0.03387726,-0.03157714,350.8629,343.4994,0.6128925,0.07826583,1.466123,9.881577,0.1941674,1.134463,9.780362,-0.0406911,1.071304,9.646209
12.00933,-0.1348196,-0.03242378,-0.02676227,349.0207,343.1978,0.09831868,0.1348196,1.467576,9.876762,0.2294405,1.09977,9.852547,0.0135512,1.045874,9.638607
12.10981,-0.1707569,-0.0187183,-0.02391876,348.4732,342.5206,1.313722,0.1707569,1.481282,9.873919,0.3070897,1.062689,9.910408,0.05309732,1.04909,9.640998
12.21156,-0.1931956,-0.01352137,-0.02005218,346.1732,341.0728,2.633064,0.1931956,1.486479,9.870052,0.4373692,1.064887,9.925739,0.07619622,1.059762,9.627902
12.32381,-0.2086331,-0.02333464,-0.01228711,349.7091,338.4203,4.266496,0.2086331,1.476665,9.862288,0.5641227,1.137082,9.922052,0.09387083,1.06728,9.612167
12.43405,-0.2167182,-0.04130435,-0.00854231,1.157475,335.3713,5.334262,0.2167182,1.458696,9.858542,0.5757433,1.196977,9.899794,0.1231985,1.065286,9.619024
