,time,posX,posY,posZ,gazeX,gazeY,gazeZ
282,5.654449,-0.03622509,1.700539,1.5,-0.07575717,1.672571,1.5
283,5.674454,-0.03501359,1.700539,1.5,-0.07673489,1.673828,1.5
284,5.69445,-0.0324298,1.700539,1.5,-0.07864369,1.675761,1.5
285,5.714455,-0.03000784,1.700539,1.5,-0.080561,1.677369,1.5
286,5.734451,-0.02870836,1.700539,1.5,-0.08148162,1.678244,1.5
287,5.754456,-0.0261993,1.700539,1.5,-0.08391566,1.678842,1.5
288,5.774452,-0.02496027,1.700539,1.5,-0.08519137,1.678847,1.5
289,5.794456,-0.02246244,1.700539,1.5,-0.08737275,1.680563,1.5
290,5.814453,-0.02119747,1.700539,1.5,-0.08838862,1.68161,1.5
291,5.83445,-0.01867927,1.700539,1.5,-0.09097882,1.681996,1.5
292,5.854454,-0.01618355,1.700539,1.5,-0.09296946,1.68087,1.5
293,5.874451,-0.01496698,1.700539,1.5,-0.09375249,1.680768,1.5
294,5.894455,-0.01244557,1.700539,1.5,-0.09431871,1.681545,1.5
295,5.914452,-0.0112044,1.700539,1.5,-0.09409688,1.681968,1.5
296,5.934456,-0.008621448,1.700539,1.5,-0.09292933,1.682372,1.5
297,5.954453,-0.006214377,1.700539,1.5,-0.08814599,1.683218,1.5
298,5.974457,-0.004939377,1.700539,1.5,-0.08575632,1.684345,1.5
299,5.994453,-0.002368297,1.700539,1.5,-0.0803394,1.685174,1.5
300,6.01445,-0.001146297,1.700539,1.5,-0.07738781,1.685549,1.5
301,6.034454,0.001352703,1.700539,1.5,-0.07030315,1.686193,1.5
302,6.054451,0.003901313,1.700539,1.5,-0.06389376,1.687163,1.5
303,6.074455,0.005106673,1.700539,1.5,-0.06075438,1.687081,1.5
304,6.094452,0.007621303,1.700539,1.5,-0.05442661,1.686868,1.5
305,6.114456,0.008864233,1.700539,1.5,-0.05159929,1.68675,1.5
306,6.134453,0.0114269,1.700539,1.5,-0.04642099,1.686555,1.5
307,6.154449,0.01389985,1.700539,1.5,-0.04042808,1.687232,1.5
308,6.174454,0.01586996,1.700539,1.5,-0.03721141,1.687266,1.5
309,6.19445,0.01776558,1.700539,1.5,-0.03139533,1.686812,1.5
310,6.214455,0.01894439,1.700539,1.5,-0.02868247,1.686108,1.5
311,6.234451,0.02148833,1.700539,1.5,-0.02252613,1.685306,1.5
312,6.254456,0.02392721,1.700539,1.5,-0.01739585,1.685643,1.5
313,6.274452,0.02514873,1.700539,1.5,-0.01513757,1.685758,1.5
314,6.294456,0.02767251,1.700539,1.5,-0.01063475,1.685608,1.5
315,6.314453,0.02889175,1.700539,1.5,-0.008517167,1.685547,1.5
316,6.33445,0.03143137,1.700539,1.5,-0.004619061,1.685647,1.5
317,6.354454,0.03391682,1.700539,1.5,-0.0003900267,1.686098,1.5
318,6.374451,0.03515065,1.700539,1.5,0.001799626,1.686321,1.5
319,6.394455,0.03769984,1.700539,1.5,0.006391285,1.686304,1.5
320,6.414452,0.03887835,1.700539,1.5,0.008115645,1.686149,1.5
321,6.434456,0.04148201,1.700539,1.5,0.01047532,1.686645,1.5
322,6.454453,0.04393285,1.700539,1.5,0.0137128,1.687574,1.5
323,6.474457,0.04516438,1.700539,1.5,0.01504402,1.687864,1.5
324,6.494453,0.04771117,1.700539,1.5,0.01879753,1.687279,1.5
325,6.51445,0.0489337,1.700539,1.5,0.01998753,1.68704,1.5
326,6.534454,0.05143951,1.700539,1.5,0.02329436,1.68602,1.5
327,6.554451,0.05268852,1.700539,1.5,0.02530759,1.685881,1.5
328,6.574455,0.05529878,1.700539,1.5,0.0292825,1.685476,1.5
329,6.594452,0.05769984,1.700539,1.5,0.03272725,1.684639,1.5
330,6.614456,0.05896582,1.700539,1.5,0.03431185,1.683864,1.5
331,6.634453,0.06149801,1.700539,1.5,0.03809428,1.683229,1.5
332,6.654449,0.06399666,1.700539,1.5,0.04214385,1.681898,1.5
333,6.674454,0.06520107,1.700539,1.5,0.04409871,1.680945,1.5
334,6.69445,0.0677755,1.700539,1.5,0.04808063,1.679114,1.5
335,6.714455,0.06898673,1.700539,1.5,0.05015701,1.678349,1.5
336,6.734451,0.07150964,1.700539,1.5,0.05417056,1.676785,1.5
337,6.754456,0.07275841,1.700539,1.5,0.05621954,1.676047,1.5
338,6.774452,0.07531825,1.700539,1.5,0.06071948,1.674428,1.5
339,6.794456,0.07777929,1.700539,1.5,0.06562448,1.67298,1.5
340,6.814453,0.0790315,1.700539,1.5,0.06775901,1.672279,1.5
341,6.83445,0.08158836,1.700539,1.5,0.07238752,1.671434,1.5
342,6.854454,0.08275956,1.700539,1.5,0.07449086,1.67055,1.5
343,6.874451,0.08531576,1.700539,1.5,0.07937631,1.668818,1.5
344,6.894455,0.08783497,1.700539,1.5,0.08529918,1.666924,1.5
345,6.914452,0.08904334,1.700539,1.5,0.08791584,1.666106,1.5
346,6.934456,0.09157728,1.700539,1.5,0.09386306,1.664586,1.5
347,6.954453,0.09281418,1.700539,1.5,0.09657156,1.663966,1.5
348,6.974457,0.09534024,1.700539,1.5,0.1026547,1.661927,1.5
349,6.994453,0.09783251,1.700539,1.5,0.1078518,1.659745,1.5
350,7.01445,0.09907681,1.700539,1.5,0.1105862,1.659132,1.5
351,7.034454,0.1015893,1.700539,1.5,0.1155478,1.658415,1.5
352,7.054451,0.1028207,1.700539,1.5,0.1175563,1.658108,1.5
353,7.074455,0.1053711,1.700539,1.5,0.1205616,1.657055,1.5
354,7.094452,0.1078752,1.700539,1.5,0.1225596,1.655977,1.5
355,7.114456,0.1090879,1.700539,1.5,0.1236371,1.656627,1.5
356,7.134453,0.1116435,1.700539,1.5,0.1244928,1.657213,1.5
357,7.154449,0.1128633,1.700539,1.5,0.124805,1.657607,1.5
358,7.174454,0.1154114,1.700539,1.5,0.1267362,1.657981,1.5
359,7.19445,0.1178981,1.700539,1.5,0.1301388,1.657983,1.5
360,7.214455,0.119102,1.700539,1.5,0.1317237,1.658096,1.5
361,7.234451,0.1216436,1.700539,1.5,0.1350938,1.657205,1.5
362,7.254456,0.1228911,1.700539,1.5,0.1370799,1.656726,1.5
363,7.274452,0.1254183,1.700539,1.5,0.1410522,1.655995,1.5
364,7.294456,0.127988,1.700539,1.5,0.1444921,1.655097,1.5
365,7.314453,0.1291841,1.700539,1.5,0.1462786,1.654677,1.5
366,7.33445,0.1316823,1.700539,1.5,0.1500013,1.653859,1.5
367,7.354454,0.1328856,1.700539,1.5,0.1515946,1.652993,1.5
