time,phase,posX,posY,posZ,rotX,rotY,rotZ,forX,forY,forZ,miss,out
3.262573,0,0.01680097,1.466888,3.179319,1.207709,3.468908,-0.63797,0.06049344,-0.02107694,0.997946,0,0
3.279114,0,0.02048302,1.468459,3.208622,0.4117968,3.613218,-0.6042175,0.06301913,-0.007187148,0.9979864,0,0
3.295654,0,0.02180453,1.466021,3.223148,-0.3503113,4.15785,-1.159912,0.07250314,0.006114112,0.9973494,0,0
3.312378,0,0.02465416,1.471181,3.252179,-0.3808289,4.945542,-1.801605,0.08620694,0.00664645,0.9962551,0,0
3.329208,0,0.02569187,1.477031,3.266544,-0.1112061,5.345164,-2.442902,0.09315529,0.001940668,0.9956497,0,0
3.345749,0,0.02827033,1.480406,3.29439,-0.2523499,5.871446,-2.85144,0.1022958,0.004404434,0.9947443,0,0
3.36264,0,0.02915536,1.480809,3.30832,-0.266449,6.112616,-2.661987,0.1064819,0.004650505,0.9943038,0,0
3.379013,0,0.0309521,1.485451,3.336371,-0.2548218,6.345469,-2.32016,0.110522,0.00444764,0.9938637,0,0
3.39595,0,0.0314928,1.487738,3.350816,-0.4760132,6.319186,-2.153687,0.1100634,0.008307702,0.9938899,0,0
3.412491,0,0.03268647,1.490508,3.379468,-0.9882507,6.427152,-1.84079,0.1119232,0.01724727,0.9935672,0,0
3.42952,0,0.03309582,1.490891,3.393955,-1.330872,6.390492,-1.645782,0.111274,0.02322584,0.9935184,0,0
3.445862,0,0.03385264,1.491511,3.423113,-1.746277,6.360971,-1.384094,0.1107405,0.03047345,0.993382,0,0
3.463394,0,0.03419645,1.491027,3.438026,-1.779999,6.265452,-1.159485,0.1090823,0.03106168,0.9935473,0,0
